Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
1700,1700,0.0699,36,car,5.20%,VA,RENT,2250,750-754,4,4527,0,5 years,750
8800,8800,0.0751,36,other,20.73%,PA,MORTGAGE,4833,790-794,6,306,4,5 years,790
24250,23985.41,0.1218,36,debt_consolidation,17.65%,CA,MORTGAGE,8910.42,740-744,16,81940,0,10+ years,740
10750,10166.42,0.1114,36,credit_card,11.91%,MA,MORTGAGE,4416.67,720-724,9,12619,1,2 years,720
6000,6000,0.1596,36,debt_consolidation,24.85%,CA,MORTGAGE,3264,660-664,13,6347,1,10+ years,660
15000,15000,0.1016,36,credit_card,18.57%,CA,MORTGAGE,5000,700-704,13,33389,0,10+ years,700
15000,15000,0.1433,36,credit_card,16.38%,MD,MORTGAGE,5500,700-704,10,12413,2,3 years,700
10000,10000,0.1311,36,credit_card,14.12%,CA,RENT,7500,680-684,12,3235,0,6 years,680
5950,5950,0.1212,36,credit_card,21.54%,FL,MORTGAGE,5000,690-694,9,47746,0,10+ years,690
10000,10000,0.1099,36,debt_consolidation,8.23%,NY,OWN,5833.33,700-704,15,11620,0,< 1 year,700
4000,4000,0.1523,36,other,10.73%,MA,RENT,2916.67,670-674,6,1651,1,6 years,670
15000,14675,0.0788,36,home_improvement,0.53%,VA,MORTGAGE,10417,780-784,8,1343,1,< 1 year,780
10000,9850,0.1531,36,debt_consolidation,18.60%,NY,RENT,2500,665-669,8,9092,1,< 1 year,665
8875,8875,0.1311,36,other,30.46%,TX,OWN,2166.67,700-704,9,6797,1,2 years,700
2400,2400,0.1074,36,credit_card,11.20%,NY,RENT,2000,705-709,4,3055,0,10+ years,705
25000,24950,0.2053,60,debt_consolidation,18.50%,NJ,RENT,8000,675-679,9,19548,0,3 years,675
5500,5500,0.1607,36,other,19.35%,FL,MORTGAGE,3937.08,685-689,6,689,8,10+ years,685
6000,6000,0.1253,36,credit_card,23.07%,PA,RENT,2916.67,685-689,11,3334,0,2 years,685
18000,18000,0.1905,60,debt_consolidation,6.28%,MD,MORTGAGE,7500,690-694,8,20675,1,10+ years,690
28000,27975,0.079,36,small_business,5.81%,WA,MORTGAGE,7000,800-804,8,771,2,9 years,800
32000,32000,0.1629,60,debt_consolidation,15.14%,AZ,RENT,7055,725-729,8,16174,1,6 years,725
6000,6000,0.1311,36,credit_card,4.53%,NY,RENT,2625,690-694,5,4299,1,10+ years,690
7200,7200,0.089,60,debt_consolidation,25.16%,LA,MORTGAGE,3750,750-754,13,7283,0,6 years,750
11500,11500,0.1114,36,debt_consolidation,10.47%,AL,RENT,2916.67,700-704,6,9562,0,< 1 year,700
4800,4800,0.0542,36,major_purchase,10.23%,FL,MORTGAGE,6333.33,790-794,13,10704,0,10+ years,790
4000,4000,0.1065,36,debt_consolidation,23.40%,NC,MORTGAGE,2333.33,685-689,21,3522,0,7 years,685
15000,15000,0.1065,36,other,14.36%,CA,RENT,9083.33,720-724,11,26902,0,3 years,720
15000,15000,0.1799,36,debt_consolidation,21.04%,TX,MORTGAGE,5319.17,675-679,13,5613,3,2 years,675
25000,25000,0.1242,36,debt_consolidation,1.05%,CA,MORTGAGE,16666.67,705-709,7,2839,0,10+ years,705
4800,4800,0.1875,60,other,27.69%,TX,RENT,1560,680-684,9,6563,0,< 1 year,680
9500,9500,0.0662,36,debt_consolidation,19.28%,GA,MORTGAGE,3583.33,735-739,8,5240,0,10+ years,735
15000,6200,0.1253,36,home_improvement,13.78%,MO,MORTGAGE,8750,705-709,8,21702,3,1 year,705
6000,6000,0.1398,36,debt_consolidation,7.73%,CO,RENT,6250,675-679,6,3507,0,4 years,675
12300,12300,0.0603,36,debt_consolidation,7.15%,VA,RENT,6666.67,740-744,10,10976,0,10+ years,740
24000,23950,0.0751,36,other,17.95%,PA,OWN,4250,755-759,6,19509,0,2 years,755
2000,1975,0.1112,36,other,20.50%,NY,MORTGAGE,6833.33,705-709,19,20653,5,5 years,705
14000,14000,0.0976,36,debt_consolidation,22.55%,NJ,MORTGAGE,8750,710-714,8,25026,0,10+ years,710
10000,10000,0.1212,36,debt_consolidation,5.95%,NJ,OWN,5000,700-704,5,10752,0,4 years,700
13000,8113.74,0.0963,36,small_business,16.14%,TX,MORTGAGE,3500,785-789,6,0,1,1 year,785
5000,5000,0.1629,60,other,11.80%,VA,RENT,5416.67,690-694,7,8745,1,4 years,690
6000,5994,0.1242,36,credit_card,11.68%,VA,RENT,2500,670-674,6,9482,0,2 years,670
10050,10050,0.1433,36,debt_consolidation,6.07%,CA,RENT,2916.67,710-714,9,7413,1,6 years,710
4800,4800,0.079,36,debt_consolidation,19.07%,OH,RENT,1500,720-724,12,6813,3,< 1 year,720
14400,14400,0.1074,36,debt_consolidation,5.90%,CA,MORTGAGE,6833.33,700-704,15,10017,0,10+ years,700
11625,11625,0.1531,36,debt_consolidation,16.73%,CA,RENT,2833.33,695-699,8,17469,0,10+ years,695
18200,18200,0.1016,36,credit_card,7.95%,NY,RENT,4750,720-724,13,16184,2,3 years,720
20000,19875,0.1335,36,debt_consolidation,15.68%,TX,MORTGAGE,9160,710-714,9,32392,1,10+ years,710
9600,9575,0.1727,60,credit_card,12.90%,NY,RENT,3333.33,695-699,7,13648,1,10+ years,695
9000,9000,0.1183,36,car,0.48%,MD,RENT,4833,715-719,6,0,1,4 years,715
35000,35000,0.1825,60,debt_consolidation,27.69%,MD,RENT,8083.33,725-729,15,29300,0,10+ years,725
1900,1900,0.0751,36,debt_consolidation,19.27%,PA,MORTGAGE,6000,735-739,12,18397,2,10+ years,735
20000,19896.51,0.1367,36,debt_consolidation,15.34%,FL,RENT,5166.67,710-714,8,12394,1,6 years,710
2400,2400,0.1037,36,wedding,9.54%,MN,MORTGAGE,3166.67,675-679,6,2174,0,1 year,675
4500,4500,0.1171,36,debt_consolidation,15.87%,CA,MORTGAGE,3333.33,675-679,15,11963,0,6 years,675
12000,12000,0.1212,36,debt_consolidation,19.41%,TX,MORTGAGE,8750,710-714,10,32028,1,4 years,710
10000,8175.26,0.0863,36,debt_consolidation,5.91%,GA,MORTGAGE,7500,730-734,16,18343,0,7 years,730
11575,11575,0.079,36,debt_consolidation,17.47%,TX,MORTGAGE,2833.33,730-734,8,5654,0,10+ years,730
20000,20000,0.0662,36,credit_card,21.61%,DC,MORTGAGE,8161.33,720-724,14,27904,1,8 years,720
6000,3475,0.147,36,debt_consolidation,10.23%,MD,RENT,6500,640-644,6,4103,0,1 year,640
2800,2800,0.1,36,debt_consolidation,20.32%,CA,RENT,3250,700-704,4,8717,0,5 years,700
6000,6000,0.1409,36,credit_card,9.93%,CA,RENT,4250,680-684,6,5815,1,3 years,680
20000,14750,0.0691,36,debt_consolidation,15.16%,CO,RENT,9208,735-739,10,20965,0,3 years,735
22000,22000,0.1399,60,debt_consolidation,18.28%,MI,MORTGAGE,6083.33,720-724,9,20181,0,8 years,720
10000,10000,0.1311,36,debt_consolidation,20.34%,MI,RENT,5416.67,675-679,9,8066,0,10+ years,675
9450,9450,0.1212,36,credit_card,11.74%,IL,MORTGAGE,4666.67,690-694,13,17639,2,10+ years,690
10400,10325,0.0766,36,debt_consolidation,13.02%,CA,MORTGAGE,6354,725-729,10,19656,3,10+ years,725
15875,15818.07,0.1528,60,debt_consolidation,22.10%,CA,RENT,3000,720-724,5,14289,2,2 years,720
18000,18000,0.1212,60,other,14.89%,VA,MORTGAGE,8333.33,730-734,7,4038,0,5 years,730
8000,8000,0.089,36,other,2.93%,NY,RENT,5000,710-714,8,5540,0,2 years,710
12000,12000,0.1433,36,moving,20.06%,NY,RENT,4166.67,760-764,8,14163,0,2 years,760
20000,12150,0.0654,60,debt_consolidation,12.36%,NY,OWN,5000,795-799,9,7960,2,10+ years,795
10000,10000,0.1677,36,debt_consolidation,18.55%,CA,RENT,2916.67,660-664,9,7565,3,4 years,660
24500,23475,0.1903,60,debt_consolidation,23.02%,MD,RENT,4497,680-684,13,18906,0,10+ years,680
10000,10000,0.1212,36,debt_consolidation,19.58%,CA,RENT,6250,695-699,17,16348,0,5 years,695
3600,3600,0.079,36,credit_card,26.21%,OH,MORTGAGE,4166.67,735-739,19,25,2,3 years,735
12000,12000,0.1749,60,debt_consolidation,6.94%,OR,MORTGAGE,5445,670-674,8,4904,0,9 years,670
6950,6950,0.1074,36,credit_card,20.71%,IL,OWN,4583.33,685-689,7,18814,0,10+ years,685
8525,8525,0.1016,36,debt_consolidation,26.14%,MT,MORTGAGE,4583.33,705-709,8,31398,0,10+ years,705
5000,5000,0.1433,36,credit_card,28.51%,CO,RENT,2750,690-694,14,5957,2,3 years,690
4800,4800,0.1825,60,debt_consolidation,13.81%,OR,RENT,3750,695-699,13,16302,0,10+ years,695
6000,6000,0.1335,36,debt_consolidation,21.36%,NV,MORTGAGE,5000,665-669,11,4363,3,10+ years,665
4000,4000,0.1922,60,small_business,9.03%,VA,RENT,3700,680-684,19,2177,2,2 years,680
14000,14000,0.0603,36,debt_consolidation,14.67%,CA,RENT,7500,745-749,12,16648,0,10+ years,745
23500,23450,0.1465,36,debt_consolidation,19.48%,CA,RENT,4000,685-689,7,20542,0,n/a,685
2500,2500,0.1595,36,major_purchase,24.07%,CA,MORTGAGE,1500,665-669,10,2684,3,1 year,665
2000,2000,0.0617,36,major_purchase,2.63%,CA,RENT,1600,745-749,9,736,0,3 years,745
24000,23925,0.1629,60,credit_card,11.77%,NJ,MORTGAGE,7800,675-679,11,20676,3,2 years,675
12800,12800,0.1149,60,debt_consolidation,6.72%,CT,MORTGAGE,4166.67,725-729,7,11992,1,1 year,725
8000,8000,0.079,36,wedding,21.58%,CA,RENT,5166.67,725-729,5,0,0,1 year,725
3000,3000,0.0999,36,credit_card,21.30%,MO,OWN,2333.33,710-714,10,3168,1,1 year,710
7000,7000,0.079,36,credit_card,1.41%,FL,RENT,12500,725-729,4,5093,0,7 years,725
18000,17975,0.1348,36,credit_card,6.24%,IL,MORTGAGE,8333.33,690-694,13,14838,0,10+ years,690
9000,5975,0.1411,36,debt_consolidation,8.21%,CA,MORTGAGE,4167,670-674,7,19696,1,3 years,670
11000,11000,0.1099,36,debt_consolidation,4.26%,SC,MORTGAGE,6666.67,695-699,11,4124,0,4 years,695
6000,6000,0.079,36,major_purchase,14.99%,IL,RENT,4416.67,720-724,10,2928,0,2 years,720
6500,6475,0.0774,36,debt_consolidation,18%,NH,RENT,1500,785-789,5,2816,0,2 years,785
19500,19500,0.1849,36,credit_card,9.79%,MD,RENT,10000,675-679,16,14957,1,2 years,675
16000,16000,0.1727,60,major_purchase,19.26%,MD,RENT,7000,695-699,7,5231,1,10+ years,695
18000,17950,0.1433,60,debt_consolidation,13.98%,KS,MORTGAGE,12916.67,685-689,11,14890,2,10+ years,685
30000,29975,0.2333,60,debt_consolidation,17.39%,FL,MORTGAGE,7083.33,665-669,21,56145,1,10+ years,665
10000,10000,0.1409,36,debt_consolidation,5.82%,LA,RENT,8750,660-664,14,11394,0,3 years,660
16000,15900,0.1558,60,debt_consolidation,12.86%,WA,MORTGAGE,5427.42,700-704,11,19407,1,5 years,700
35000,35000,0.1758,36,debt_consolidation,11.80%,MA,MORTGAGE,13333.33,690-694,12,21393,1,10+ years,690
8000,8000,0.1372,36,wedding,9.67%,TX,RENT,7758.33,665-669,6,12110,1,2 years,665
14500,14500,0.1311,36,debt_consolidation,28.29%,WA,MORTGAGE,5988.67,700-704,12,18020,2,10+ years,700
12000,11925,0.1062,36,other,19.02%,VA,RENT,5000,720-724,9,11779,0,1 year,720
4500,4500,0.1343,36,car,1.23%,CA,RENT,11500,670-674,5,1847,1,1 year,670
16500,16350,0.1183,36,debt_consolidation,17.44%,TX,RENT,4810.08,725-729,7,24351,1,3 years,725
10000,10000,0.0991,36,debt_consolidation,14.32%,MN,MORTGAGE,3666.67,705-709,9,17161,0,1 year,705
35000,35000,0.1905,60,credit_card,13.40%,CA,MORTGAGE,9166.67,690-694,7,26633,0,1 year,690
21000,6165.31,0.1109,36,home_improvement,21.28%,CA,OWN,18333.33,745-749,31,270800,5,2 years,745
8400,6725,0.1545,36,debt_consolidation,15.71%,MD,RENT,7083.33,640-644,7,14578,3,< 1 year,640
6000,6000,0.079,36,credit_card,9.31%,TX,OWN,1750,705-709,14,5056,0,6 years,705
12000,12000,0.1922,36,debt_consolidation,14.62%,CT,OWN,4166.67,665-669,3,6309,0,6 years,665
12100,12100,0.1689,36,small_business,11.16%,TX,MORTGAGE,6166.67,665-669,5,2081,0,4 years,665
25000,25000,0.1409,36,home_improvement,4.79%,MD,MORTGAGE,6833.33,675-679,5,8811,0,8 years,675
16000,15925,0.0603,36,debt_consolidation,14.48%,CA,MORTGAGE,7333.33,780-784,11,71838,1,10+ years,780
27000,27000,0.1825,36,home_improvement,22.32%,SC,MORTGAGE,8583.33,690-694,9,6658,1,8 years,690
12250,12250,0.1875,36,debt_consolidation,17.21%,LA,OWN,2916.67,665-669,7,10523,0,7 years,665
10000,10000,0.1777,36,debt_consolidation,22.60%,AZ,RENT,2500,665-669,12,12938,2,4 years,665
9175,9175,0.1367,36,credit_card,19.43%,IL,MORTGAGE,7083.33,675-679,8,25639,0,8 years,675
14075,14075,0.1531,36,debt_consolidation,25.70%,VA,OWN,4000,680-684,13,11907,2,5 years,680
13100,13100,0.1855,36,debt_consolidation,23.24%,NY,RENT,7968.75,660-664,19,19607,1,10+ years,660
14675,14675,0.089,36,debt_consolidation,14.95%,NY,MORTGAGE,4000,715-719,6,12764,0,7 years,715
5000,4900,0.1114,36,major_purchase,2.84%,FL,RENT,3200,710-714,6,2650,2,3 years,710
18000,18000,0.1311,36,debt_consolidation,26.54%,OR,MORTGAGE,4166.67,670-674,11,16680,0,10+ years,670
12000,12000,0.0762,36,debt_consolidation,15.10%,CO,RENT,5666.67,775-779,7,12094,0,10+ years,775
19400,19400,0.1433,36,debt_consolidation,16.15%,MA,MORTGAGE,4583.33,680-684,12,12434,0,7 years,680
18000,18000,0.1212,36,debt_consolidation,19.29%,IL,RENT,3333.33,665-669,15,26573,0,10+ years,665
12000,12000,0.1777,36,debt_consolidation,9.84%,NY,MORTGAGE,7500,665-669,11,15866,0,7 years,665
8000,8000,0.1311,36,debt_consolidation,26.11%,MN,MORTGAGE,4166.67,675-679,15,11500,0,< 1 year,675
23750,23750,0.1972,60,debt_consolidation,14.22%,CT,RENT,8333.33,710-714,12,10549,3,2 years,710
7500,7475,0.1558,36,debt_consolidation,10.74%,VA,MORTGAGE,5000,695-699,8,8257,0,2 years,695
5500,5500,0.1269,36,debt_consolidation,21.24%,OH,RENT,1666.67,680-684,7,5056,1,< 1 year,680
16950,16950,0.1727,60,debt_consolidation,26.62%,OK,MORTGAGE,3583.33,710-714,7,12588,3,10+ years,710
3000,2950,0.1114,36,major_purchase,27.74%,VA,MORTGAGE,4333.33,715-719,6,6346,0,5 years,715
1600,1600,0.1349,36,debt_consolidation,12.10%,CA,RENT,3200,670-674,5,1214,0,6 years,670
6000,6000,0.0749,36,home_improvement,14.66%,NC,MORTGAGE,5833.33,715-719,12,7961,0,9 years,715
7350,7350,0.1212,36,debt_consolidation,19.85%,CA,OWN,3355.05,695-699,19,11626,3,10+ years,695
12825,12825,0.1777,36,debt_consolidation,24.41%,CA,MORTGAGE,3416.67,670-674,15,8539,1,10+ years,670
24000,23975,0.21,60,debt_consolidation,23.69%,OK,MORTGAGE,6500,685-689,17,36555,3,6 years,685
10000,10000,0.1849,60,debt_consolidation,16.47%,FL,RENT,4104.67,695-699,5,7597,0,5 years,695
5500,5500,0.1433,36,debt_consolidation,27.83%,WV,OWN,1541.67,675-679,5,10481,1,n/a,675
17500,17500,0.1472,36,debt_consolidation,9.30%,CA,RENT,9519.75,695-699,9,31279,0,10+ years,695
10000,10000,0.1311,36,credit_card,19.01%,OH,MORTGAGE,7500,680-684,11,14426,1,9 years,680
20000,16275,0.0617,36,debt_consolidation,12.27%,MD,MORTGAGE,8083.33,770-774,13,29813,1,10+ years,770
11600,11600,0.0699,36,debt_consolidation,8.62%,CA,RENT,5833.33,735-739,8,2671,1,< 1 year,735
12000,12000,0.1399,60,debt_consolidation,12.98%,CT,RENT,4166.67,715-719,8,2316,1,3 years,715
13000,6770.1,0.1126,36,small_business,14.05%,CA,MORTGAGE,7666.67,720-724,8,9551,0,9 years,720
8575,8550,0.1727,36,debt_consolidation,9.84%,NY,RENT,2500,665-669,6,8807,2,7 years,665
6100,6100,0.1409,36,credit_card,9.51%,LA,RENT,6666.67,685-689,10,5665,2,2 years,685
14000,14000,0.1531,36,credit_card,14.26%,PA,MORTGAGE,5000,680-684,5,11249,2,10+ years,680
10500,10500,0.1433,36,debt_consolidation,19.55%,FL,MORTGAGE,5666.67,670-674,7,11301,0,10+ years,670
19600,19525,0.2149,60,small_business,9.76%,CA,RENT,4170,675-679,8,11669,0,4 years,675
15000,15000,0.158,36,credit_card,10.27%,NV,RENT,3333.33,670-674,11,10108,0,4 years,670
8000,8000,0.1727,36,other,5.28%,AZ,MORTGAGE,5833.33,725-729,11,12484,1,10+ years,725
20000,20000,0.2149,36,debt_consolidation,27.47%,TX,MORTGAGE,7750,660-664,15,26976,0,2 years,660
11000,10969.64,0.1253,36,debt_consolidation,18.89%,IL,RENT,3500,700-704,6,6811,1,2 years,700
6000,5905.66,0.179,36,credit_card,6.60%,MI,RENT,4166.67,675-679,5,3433,1,2 years,675
12000,12000,0.1114,36,debt_consolidation,3.11%,CA,MORTGAGE,10833.33,705-709,12,11941,0,2 years,705
17000,17000,0.1311,36,debt_consolidation,16.92%,CA,RENT,5083.33,690-694,10,8890,0,7 years,690
6250,6250,0.079,36,debt_consolidation,8.45%,IL,RENT,1916.67,720-724,6,3295,0,1 year,720
27825,27825,0.2376,60,debt_consolidation,12.86%,CA,RENT,6250,665-669,16,27093,1,4 years,665
30000,30000,0.1531,36,debt_consolidation,15.42%,NJ,RENT,8333.33,680-684,21,29060,1,8 years,680
4200,3969.9,0.1411,36,home_improvement,4.62%,OH,MORTGAGE,1558.42,675-679,6,2255,1,< 1 year,675
3800,3800,0.2198,36,small_business,8.31%,CA,RENT,4333.33,680-684,6,4843,2,7 years,680
2000,2000,0.1531,36,moving,21.43%,NC,RENT,2766.67,670-674,5,2162,3,< 1 year,670
6000,6000,0.1409,36,debt_consolidation,24.25%,AZ,RENT,4000,680-684,12,24934,1,10+ years,680
21000,21000,0.1905,60,debt_consolidation,16.24%,TX,RENT,8416.67,685-689,8,8764,2,5 years,685
2500,2500,0.1349,36,credit_card,6.24%,NY,RENT,5416.67,680-684,8,15373,0,6 years,680
2400,2400,0.1677,36,other,17%,WA,RENT,2700,690-694,3,3418,1,3 years,690
13000,13000,0.1074,36,credit_card,15.46%,CA,RENT,2166.67,720-724,4,11101,0,3 years,720
4800,4800,0.1465,36,credit_card,13.90%,HI,RENT,5000,665-669,8,7391,0,2 years,665
17475,17475,0.0991,36,credit_card,17.76%,NJ,RENT,3333.33,730-734,15,17261,1,2 years,730
16450,16400,0.2197,60,debt_consolidation,25.59%,PA,MORTGAGE,2833.33,670-674,23,12670,2,5 years,670
14000,14000,0.1465,36,debt_consolidation,3.47%,CA,MORTGAGE,8750,680-684,6,9035,1,10+ years,680
2500,2500,0.1727,36,other,11.34%,OH,MORTGAGE,5833.33,665-669,8,14122,0,8 years,665
8000,8000,0.1849,36,debt_consolidation,14.45%,VA,RENT,4166.67,660-664,10,9425,2,4 years,660
5000,5000,0.1253,36,debt_consolidation,21.49%,FL,RENT,3108.33,705-709,8,0,0,2 years,705
15000,15000,0.1311,36,debt_consolidation,12.78%,MA,RENT,9000,690-694,19,11016,0,< 1 year,690
25000,24814.89,0.1269,60,wedding,3.83%,NY,MORTGAGE,22916.67,720-724,13,34069,0,10+ years,720
3000,2975,0.089,36,debt_consolidation,32%,FL,RENT,1000,700-704,7,9730,0,n/a,700
6000,6000,0.079,36,credit_card,33.64%,WI,RENT,4116.67,705-709,16,33746,0,1 year,705
7800,7800,0.1065,36,debt_consolidation,7.15%,CO,MORTGAGE,4000,720-724,6,11063,2,9 years,720
25000,25000,0.079,36,debt_consolidation,18.66%,MI,MORTGAGE,7083.33,710-714,17,47504,0,9 years,710
18500,3100,0.1533,36,credit_card,5.24%,NY,RENT,7500,660-664,8,22379,0,1 year,660
12000,12000,0.1299,60,home_improvement,16.67%,GA,MORTGAGE,9166.67,710-714,11,25165,0,2 years,710
5000,5000,0.1599,36,debt_consolidation,5.26%,AL,MORTGAGE,2416.67,665-669,5,1620,0,6 years,665
2500,2500,0.1059,60,other,2.15%,MD,OWN,3958,745-749,4,3417,0,2 years,745
16000,16000,0.1629,60,debt_consolidation,5.76%,NC,MORTGAGE,5083.33,710-714,7,8729,1,10+ years,710
25000,25000,0.1531,60,debt_consolidation,3.98%,NY,RENT,5666.67,745-749,6,11079,0,3 years,745
2000,2000,0.1689,36,other,11.91%,AR,RENT,3400,660-664,3,747,3,10+ years,660
2200,2200,0.1016,36,major_purchase,24.15%,GA,MORTGAGE,3400,730-734,6,1453,0,5 years,730
14000,13825,0.1025,36,debt_consolidation,9.26%,GA,MORTGAGE,8333.33,730-734,8,40267,1,10+ years,730
3000,3000,0.1311,36,debt_consolidation,32.21%,SD,MORTGAGE,2583.33,670-674,13,6683,0,1 year,670
11425,11400,0.0991,36,debt_consolidation,19.47%,FL,MORTGAGE,4750,730-734,9,6359,3,8 years,730
17325,17325,0.1727,60,debt_consolidation,30.24%,CA,RENT,3750,705-709,13,31362,1,9 years,705
5425,5425,0.0849,36,debt_consolidation,21.16%,WV,MORTGAGE,6333.33,730-734,21,25996,3,10+ years,730
20000,20000,0.2278,60,debt_consolidation,1.63%,CA,RENT,12500,665-669,5,5407,0,5 years,665
3300,3300,0.1171,36,car,4.16%,FL,RENT,3730,700-704,7,3675,1,1 year,700
2000,2000,0.1727,36,home_improvement,20.51%,GA,MORTGAGE,3750,670-674,10,1371,1,7 years,670
26500,26500,0.1311,36,home_improvement,13.99%,CA,RENT,5833.33,745-749,8,64504,2,5 years,745
17975,17975,0.1855,36,debt_consolidation,18.55%,FL,RENT,4833.33,670-674,10,17448,0,7 years,670
15000,14925.21,0.1347,36,debt_consolidation,14.06%,NY,RENT,4458.33,700-704,15,7701,1,6 years,700
16400,16350,0.1399,60,debt_consolidation,23.60%,FL,RENT,3500,725-729,11,16693,1,5 years,725
13500,13500,0.1399,60,debt_consolidation,12.59%,OR,MORTGAGE,8833.33,700-704,11,18978,0,2 years,700
12000,12000,0.1527,36,debt_consolidation,3.90%,AZ,RENT,7083.33,670-674,7,6040,1,2 years,670
16750,16750,0.2148,60,debt_consolidation,21.88%,HI,RENT,2833.33,665-669,12,7903,0,3 years,665
8000,8000,0.1218,36,major_purchase,1.24%,MA,RENT,1125,745-749,2,707,0,2 years,745
10000,10000,0.0976,36,debt_consolidation,14.08%,LA,MORTGAGE,5416.67,710-714,8,10560,0,3 years,710
10000,10000,0.1521,36,debt_consolidation,10.93%,CA,RENT,7083,670-674,13,11890,0,3 years,670
5525,5525,0.1385,36,credit_card,21.03%,CA,MORTGAGE,6620,720-724,8,37573,2,10+ years,720
17200,17200,0.1969,60,home_improvement,9.95%,CO,RENT,3666.67,705-709,4,2117,3,2 years,705
19600,19575,0.1629,36,other,29.38%,NY,RENT,4166.67,680-684,17,22053,1,3 years,680
4000,4000,0.1148,36,debt_consolidation,22.93%,TX,MORTGAGE,3833.33,715-719,9,0,0,2 years,715
13000,13000,0.1311,36,debt_consolidation,10.58%,NH,RENT,5000,735-739,3,11090,1,1 year,735
8000,7850,0.0963,36,house,0.24%,KS,RENT,4250,790-794,4,132,3,5 years,790
25000,5640.7,0.1008,36,home_improvement,10.42%,MA,MORTGAGE,7916.67,755-759,23,16386,0,4 years,755
20000,19900,0.1025,36,wedding,11.35%,NY,RENT,7083.33,750-754,14,18196,0,3 years,750
27575,27575,0.1727,60,debt_consolidation,18.28%,WA,MORTGAGE,7833.33,680-684,20,28055,2,7 years,680
24000,24000,0.1433,36,debt_consolidation,15.86%,CA,MORTGAGE,7500,670-674,5,2426,0,10+ years,670
7000,7000,0.1849,36,wedding,15.92%,IL,RENT,5000,660-664,11,13665,1,5 years,660
12000,11975,0.1677,60,debt_consolidation,10.71%,MD,MORTGAGE,3500,685-689,6,26874,0,10+ years,685
14000,14000,0.1903,60,debt_consolidation,13.52%,CA,MORTGAGE,3616,670-674,9,13923,0,2 years,670
10000,9975,0.1114,36,debt_consolidation,12.92%,CA,RENT,2500,725-729,8,14257,0,3 years,725
7750,7750,0.0603,36,debt_consolidation,22.01%,CO,RENT,4766.67,780-784,14,4667,3,6 years,780
15000,11550,0.1367,36,debt_consolidation,17.19%,TX,OWN,3333.33,690-694,8,10820,0,5 years,690
15000,14950,0.1186,36,debt_consolidation,12.20%,AR,MORTGAGE,5000,705-709,9,3470,3,10+ years,705
25000,25000,0.1531,36,debt_consolidation,13%,CA,RENT,5416.67,685-689,10,22824,0,6 years,685
15000,14975,0.1491,60,debt_consolidation,8.08%,NC,MORTGAGE,4407,720-724,8,15818,1,n/a,720
5000,5000,0.1629,36,debt_consolidation,16.06%,CT,MORTGAGE,8750,660-664,12,19598,1,2 years,660
5000,5000,0.1298,36,wedding,17.29%,PA,MORTGAGE,3250,665-669,18,4656,0,3 years,665
35000,35000,0.1531,36,debt_consolidation,15%,NJ,RENT,6666.67,680-684,22,33472,0,10+ years,680
7500,6025,0.1537,36,debt_consolidation,17.50%,CA,OWN,5000,675-679,11,16422,0,< 1 year,675
25000,15675,0.1036,60,home_improvement,16.26%,CA,MORTGAGE,3333.33,765-769,6,22713,1,10+ years,765
3800,3800,0.1112,36,major_purchase,15.45%,PA,MORTGAGE,5416.67,700-704,11,9266,0,10+ years,700
2800,2800,0.089,36,other,27.76%,VA,RENT,3250,700-704,13,22401,0,10+ years,700
6250,6250,0.0749,36,credit_card,23.97%,AR,MORTGAGE,2900,730-734,13,21536,0,2 years,730
18000,17994.46,0.0991,36,debt_consolidation,11.85%,WA,MORTGAGE,3333.33,725-729,13,10416,2,5 years,725
6000,6000,0.1727,36,debt_consolidation,29.13%,WV,RENT,2752.92,660-664,12,4569,2,< 1 year,660
20000,20000,0.1409,36,debt_consolidation,34.91%,TX,MORTGAGE,4583.33,710-714,8,6510,1,2 years,710
8000,8000,0.1114,36,debt_consolidation,23.93%,KY,RENT,2666.67,700-704,11,10128,0,5 years,700
12000,12000,0.0662,36,home_improvement,4.81%,NY,MORTGAGE,9833.33,790-794,15,5584,2,10+ years,790
24000,7100,0.1112,60,home_improvement,11.99%,CO,OWN,5686.67,775-779,6,1726,2,2 years,775
3000,2925,0.1149,36,debt_consolidation,9.22%,CA,RENT,4900,690-694,6,3996,1,10+ years,690
5000,5000,0.0699,36,major_purchase,8.51%,AL,MORTGAGE,3750,745-749,12,3998,0,6 years,745
21850,21800,0.1399,60,debt_consolidation,17.95%,NY,RENT,3750,730-734,5,7102,0,3 years,730
21850,21850,0.2328,60,medical,26.95%,IL,MORTGAGE,5833.33,675-679,21,29643,2,3 years,675
10000,7586.93,0.1347,36,credit_card,14.20%,CA,MORTGAGE,6666.67,690-694,8,126402,2,9 years,690
15000,10150.07,0.1568,36,other,2.68%,IL,OWN,2500,680-684,6,3004,2,1 year,680
9600,9600,0.0729,36,other,9.66%,RI,RENT,6048,740-744,7,15700,0,7 years,740
25000,24975,0.205,36,credit_card,14.72%,FL,RENT,7301.58,670-674,18,21675,0,4 years,670
25000,14401.65,0.1149,60,home_improvement,4.95%,FL,MORTGAGE,3333.33,780-784,9,3367,3,2 years,780
